playlist_name,playlist_id,title,video_id,date,length,nview,nlike,ndislike
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Gul'dan Gameplay!,XIE8-Mpg99o,2016.7.6,1292,31319,512,23
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Leaping Spiders with Nazeebo! (Quick Match Gameplay),L0pWFNmi1-E,2016.6.22,1457,10608,210,8
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Season One - Ranked Hero League Gameplay!,G1kxPMpgrH4,2016.6.15,1362,9095,239,6
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Phase Shifting with Brightwing! (Ranked Play),NC1_xD0lv7U,2016.5.26,1412,10610,240,7
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: The One-Man Wrecking Crew! (Gazlowe Gameplay),-Tdev2zQU_M,2016.5.22,1497,13200,246,11
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Chromie Gameplay!,MeDCoFBIm-M,2016.5.19,864,12189,248,13
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: The Hero League Quest!,VOl7WeSKRig,2016.5.12,1293,12843,249,4
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Chromie Overview!,UtGimI-AcQw,2016.5.9,383,14398,264,4
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Medivh Overview & Gameplay!,GQZq8mPmU_o,2016.5.8,491,45462,605,14
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,"Heroes of the Storm Developer Interview - Ranked Seasons, Chromie & Medivh!",rPazJ_o7FYo,2016.5.7,1060,18986,346,1
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Friends Be Healed! (Brightwing Gameplay),rpjky2kEvZU,2016.5.2,1090,9699,249,16
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: This Is Jimmy! (Raynor Gameplay),mvJaYXkpVsI,2016.4.30,1368,12585,263,3
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Tracer Gameplay!,aSzXKynPsfg,2016.4.20,1142,42702,528,25
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,"Heroes of the Storm: En Taro, Tassadar - Savior of the Templar! (Tassadar Gameplay)",p69zthifA0k,2016.4.19,1397,9523,247,11
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Dunking with Azmodunk! (Azmodunk Gameplay),2GeDycZTC9A,2016.4.13,1648,16864,296,14
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Illidan Is Back!,O-6khqkijQc,2016.4.7,1102,16926,299,12
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Lost Cavern Gameplay! (All Random All Mid),3U3hqu7Bz2M,2016.3.27,709,26960,470,24
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Dehaka Gameplay!,QgWO0MfPGig,2016.3.22,1770,46250,632,70
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Zagara on the Cursed Hollow! (Zagara Gameplay),wAhBeLRe3eo,2016.3.16,1351,13445,363,9
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Abathur Monstrosity Build! (Gameplay),JRG3H-hI6WE,2016.3.8,1363,16911,275,28
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Xul Gameplay - Skeleton Mastery! (Xul Talent Build),Nyr1xTp0cTA,2016.3.2,941,24176,438,16
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Tyrael Gameplay! (Heroes Quick Match),AacSiQsbWGc,2016.2.24,1093,11033,213,6
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Artanis on Blackheart's Bay! (Heroes Quick Match),IVQyyZdYDB4,2016.2.16,1291,12549,321,7
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Rehgar Gameplay! (Rehgar Talent Build),-y9qn3GrQls,2016.2.11,1326,9754,255,5
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Cho'gall with KendricSwissh! (Cho'gall Gameplay),a1BFhXqgabo,2016.2.3,1045,10473,281,9
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Li-Ming Gameplay! (Heroes Quick Match),9hksb8JYsHw,2016.1.27,1145,29573,399,48
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,"Heroes of the Storm: Li-Ming Introduction - Abilities, Heroics, Talents & Theory Crafting!",PVBhrjFMp1M,2016.1.27,1388,11054,251,6
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Jaina Gameplay - Very Close Heroes Quick Match!,bb2BsO85JAo,2016.1.25,1602,10814,271,4
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Greymane Gameplay!,RRmepDTepaY,2016.1.14,1618,20406,353,16
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,"Heroes of the Storm: Greymane Introduction - Abilities, Heroics, Talents & First Impressions!",FB7L1rxlNaA,2016.1.13,1405,4918,109,2
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Falstad Gameplay!,s3NQyrw-Pwo,2016.1.8,1052,8837,220,9
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Tychus Gameplay!,Sw0QmgIJrfg,2016.1.3,1020,13446,384,7
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Healing in Hero League!,VtX5meqUBTY,2015.12.28,1523,10596,316,2
